,Customer Code,Segment 1,Segment 2,Segment 3,Segment 4,Segment 5,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20
10,Customer11,Subscription,Australia,SMB,Platform,, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,396
11,Customer12,Subscription,USA,SMB,Platform,, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,"4,922","4,922","4,922","4,922","4,922","4,922","4,922","4,922","4,922","4,922","4,922","4,922"
12,Customer13,Subscription,USA,SMB,Analytics Module,, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,"4,922","4,922","4,922","4,922","4,922","4,922","4,922","4,922","4,922","4,922","4,922","4,922"
13,Customer14,Subscription,USA,Mid-Market,Platform,, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,"7,031","7,031","7,031","7,031","7,031","7,031","7,031","7,031","7,031","7,031","7,031","7,031"
14,Customer15,Subscription,Canada,Enterprise,Analytics Module,,"5,967","5,967","5,967","5,967","4,512","4,512","4,512","4,512","4,512","4,512","4,512","4,512","4,512","4,512","4,512","4,512","4,512","4,512","4,512","4,512","4,512","4,512","4,512","4,512","4,756","4,756","4,756","4,756","4,756","4,815","4,756","4,756","4,756","4,756","4,756","4,761", 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   
15,Customer16,Subscription,Canada,Enterprise,Platform,, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,780,770,770,770,770,770,782,782,766,756,756,756,756,756,756,756,756,756,756
16,Customer17,Subscription,USA,Mid-Market,Platform,,"2,462","2,462","2,462","2,462","2,462","2,462","2,462","2,462","2,462","2,462","2,462", 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   
17,Customer18,Subscription,USA,Mid-Market,Platform,,"2,462","2,462","2,462","2,462","2,462","2,462","2,462","2,462","2,462","2,462","2,462", 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   
18,Customer19,Subscription,USA,Mid-Market,Platform,, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,133
19,Customer20,Subscription,USA,Mid-Market,Platform,, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,"1,055","1,055","1,055","1,055","1,055","1,055","1,055","1,055","1,185","1,185","1,185","1,185","1,477","1,477","1,477","1,477","1,477","1,477","1,477","1,477","1,477","1,477","1,477","1,524","1,524","1,524","1,663","1,663","1,497","1,697","1,837","1,977","1,977","1,977","1,977","2,005","2,005","2,005"
